type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	11.098	0.176	-0.055	12.750	-0.040	6.016	0.389	13.013	0.837	14.360	-1.485	-0.420	0.040	0.778	-0.920	1.029	-0.090	1.593	1.320	0.960	-0.477	2.150	0.005	2.726	0.274	4.146	1.246	0.324	-0.499	0.794	0.154	1.006	0.389	1.380	1.264	2.479
?	11.394	0.091	-0.832	11.156	-0.687	4.130	-0.918	8.909	-2.913	15.335	-0.378	1.174	0.687	1.029	-0.524	2.557	2.510	0.985	0.322	1.347	-0.381	2.418	0.149	2.909	0.377	2.751	0.341	0.572	-0.347	0.916	0.361	1.035	0.436	1.001	0.525	2.337
?	11.498	0.216	0.312	10.999	-0.751	5.491	0.025	13.007	0.832	13.895	-2.014	1.331	0.751	0.630	-1.153	1.550	0.798	1.853	1.748	1.337	-0.383	2.268	0.068	5.014	1.566	2.262	0.024	0.359	-0.477	0.816	0.191	1.782	1.639	0.767	0.072	2.013
?	11.770	0.136	-0.423	21.132	3.362	6.332	0.608	13.379	1.171	16.561	1.015	-8.802	-3.362	1.090	-0.428	1.462	0.647	0.721	-0.112	6.440	0.890	3.315	0.635	0.476	-0.996	0.999	-0.794	1.944	0.490	0.967	0.449	0.137	-1.011	0.322	-0.795	2.597
fp	12.250	0.104	-0.722	11.225	-0.659	6.119	0.460	12.187	0.082	15.840	0.196	1.105	0.659	0.658	-1.108	0.259	-1.401	0.113	-1.112	0.834	-0.509	0.907	-0.669	0.678	-0.882	0.248	-1.281	0.324	-0.499	0.271	-0.741	0.208	-0.896	0.079	-1.268	4.126
fp	12.354	0.136	-0.418	11.108	-0.707	6.120	0.461	12.509	0.376	15.937	0.306	1.222	0.707	0.619	-1.170	0.644	-0.745	0.163	-1.030	0.269	-0.650	1.009	-0.614	0.650	-0.898	0.713	-0.980	0.093	-0.639	0.346	-0.612	0.215	-0.885	0.217	-1.000	4.066
?	12.634	0.208	0.239	11.724	-0.457	4.249	-0.835	13.740	1.501	16.241	0.652	0.606	0.457	1.121	-0.380	1.683	1.023	0.371	-0.688	0.447	-0.605	0.368	-0.961	0.887	-0.764	1.567	-0.427	0.181	-0.586	0.108	-1.020	0.318	-0.718	0.410	-0.624	3.399
fp	13.194	0.456	2.517	10.769	-0.844	7.029	1.091	11.082	-0.927	16.139	0.536	1.561	0.844	1.609	0.389	0.834	-0.423	0.665	-0.204	1.048	-0.456	0.703	-0.779	0.483	-0.992	3.219	0.645	1.590	0.274	0.211	-0.842	0.145	-0.998	1.059	0.639	6.102
fp	14.082	0.280	0.900	16.510	1.486	6.787	0.923	12.087	-0.010	16.223	0.631	-4.180	-1.486	1.313	-0.078	0.478	-1.028	0.394	-0.651	5.764	0.721	1.717	-0.230	1.480	-0.429	1.044	-0.765	2.154	0.618	0.582	-0.209	0.536	-0.368	0.626	-0.203	4.119
?	14.794	0.192	0.092	16.211	1.364	5.375	-0.055	11.621	-0.435	16.129	0.524	-3.881	-1.364	0.408	-1.501	0.600	-0.820	0.293	-0.817	2.329	-0.136	1.579	-0.305	2.366	0.071	1.081	-0.741	0.920	-0.135	0.479	-0.384	0.725	-0.064	0.310	-0.818	3.348
